,markecap,name,price,supply,time
0,"$167,144,118,093",Bitcoin,9183.85,"18,199,787 BTC",coinmarketcap20200204153935.html
1,"$20,599,690,916",Ethereum,188.01,"109,564,303 ETH",coinmarketcap20200204153935.html
2,"$11,645,006,219",XRP,0.266487,"43,698,224,662 XRP",coinmarketcap20200204153935.html
3,"$6,893,401,441",Bitcoin Cash,377.50,"18,260,588 BCH",coinmarketcap20200204153935.html
4,"$4,930,841,663",Bitcoin SV,270.07,"18,257,940 BSV",coinmarketcap20200204153935.html
5,"$4,645,275,473",Tether,1.00,"4,642,367,414 USDT",coinmarketcap20200204153935.html
6,"$4,333,963,782",Litecoin,67.71,"64,009,485 LTC",coinmarketcap20200204153935.html
7,"$3,955,789,750",EOS,4.16,"951,628,554 EOS",coinmarketcap20200204153935.html
8,"$2,826,692,592",Binance Coin,18.17,"155,536,713 BNB",coinmarketcap20200204153935.html
9,"$1,444,029,202",Cardano,0.055696,"25,927,070,538 ADA",coinmarketcap20200204153935.html
10,"$1,344,895,910",Tezos,1.94,"694,191,974 XTZ",coinmarketcap20200204153935.html
11,"$1,330,614,595",Stellar,0.066328,"20,061,035,469 XLM",coinmarketcap20200204153935.html
12,"$1,321,956,143",Ethereum Classic,11.37,"116,313,299 ETC",coinmarketcap20200204153935.html
13,"$1,300,730,370",Monero,74.63,"17,429,885 XMR",coinmarketcap20200204153935.html
14,"$1,284,284,290",TRON,0.019260,"66,682,072,191 TRX",coinmarketcap20200204153935.html
15,"$1,028,121,919",Dash,110.44,"9,309,287 DASH",coinmarketcap20200204153935.html
16,"$950,382,381",Chainlink,2.72,"350,000,000 LINK",coinmarketcap20200204153935.html
17,"$940,960,709",IOTA,0.338532,"2,779,530,283 MIOTA",coinmarketcap20200204153935.html
18,"$896,443,674",UNUS SED LEO,0.896893,"999,498,893 LEO",coinmarketcap20200204153935.html
19,"$856,373,317",Neo,12.14,"70,538,831 NEO",coinmarketcap20200204153935.html
20,"$802,266,322",Huobi Token,3.39,"236,468,066 HT",coinmarketcap20200204153935.html
21,"$800,580,871",Cosmos,4.20,"190,688,439 ATOM",coinmarketcap20200204153935.html
22,"$750,160,343",Crypto.com Coin,0.055716,"13,463,926,941 CRO",coinmarketcap20200204153935.html
23,"$719,573,225",HedgeTrade,2.50,"288,208,798 HEDG",coinmarketcap20200204153935.html
24,"$567,439,726",Zcash,64.25,"8,832,394 ZEC",coinmarketcap20200204153935.html
25,"$543,154,629",Maker,549.67,"988,140 MKR",coinmarketcap20200204153935.html
26,"$501,517,909",Ontology,0.786878,"637,351,170 ONT",coinmarketcap20200204153935.html
27,"$440,717,691",USD Coin,1.02,"430,506,015 USDC",coinmarketcap20200204153935.html
28,"$428,643,809",NEM,0.047627,"8,999,999,999 XEM",coinmarketcap20200204153935.html
29,"$354,193,210",VeChain,0.006387,"55,454,734,800 VET",coinmarketcap20200204153935.html
30,"$348,319,319",Basic Attention Token,0.244729,"1,423,287,364 BAT",coinmarketcap20200204153935.html
31,"$305,094,687",Dogecoin,0.002477,"123,185,048,629 DOGE",coinmarketcap20200204153935.html
32,"$250,688,608",ICON,0.482416,"519,652,624 ICX",coinmarketcap20200204153935.html
33,"$222,529,185",Paxos Standard,1.00,"221,570,886 PAX",coinmarketcap20200204153935.html
34,"$218,674,894",Qtum,2.27,"96,359,996 QTUM",coinmarketcap20200204153935.html
35,"$217,203,208",FTX Token,2.24,"96,815,279 FTT",coinmarketcap20200204153935.html
36,"$210,980,943",Decred,19.56,"10,786,831 DCR",coinmarketcap20200204153935.html
37,"$196,043,793",Bitcoin Gold,11.19,"17,513,924 BTG",coinmarketcap20200204153935.html
38,"$187,565,962",Synthetix Network Token,1.16,"162,251,159 SNX",coinmarketcap20200204153935.html
39,"$170,879,249",Ravencoin,0.031405,"5,441,160,000 RVN",coinmarketcap20200204153935.html
40,"$163,167,513",Augur,14.83,"11,000,000 REP",coinmarketcap20200204153935.html
41,"$157,319,951",0x,0.251326,"625,958,624 ZRX",coinmarketcap20200204153935.html
42,"$154,420,703",Algorand,0.279933,"551,634,245 ALGO",coinmarketcap20200204153935.html
43,"$145,897,460",Lisk,1.20,"121,810,663 LSK",coinmarketcap20200204153935.html
44,"$137,640,740",TrueUSD,1.00,"137,403,588 TUSD",coinmarketcap20200204153935.html
45,"$136,746,518",OmiseGO,0.975052,"140,245,398 OMG",coinmarketcap20200204153935.html
46,"$130,800,088",OKB,3.27,"40,000,000 OKB",coinmarketcap20200204153935.html
47,"$123,007,105",ZB Token,0.265508,"463,288,810 ZB",coinmarketcap20200204153935.html
48,"$116,282,234",Nano,0.872673,"133,248,297 NANO",coinmarketcap20200204153935.html
49,"$115,839,253",Bitcoin Diamond,0.621146,"186,492,898 BCD",coinmarketcap20200204153935.html
50,"$112,799,692",Swipe,1.73,"65,373,112 SXP",coinmarketcap20200204153935.html
